"id","LDR1","LDR2","button"
"3650","427","73","181"
"3651","413","65","165"
"3652","406","62","162"
"3653","407","61","156"
"3654","407","61","169"
"3655","408","61","160"
"3656","407","61","179"
"3657","406","61","167"
"3658","407","62","151"
"3659","412","65","168"
"3660","420","71","181"
"3661","421","71","181"
"3662","426","73","182"
"3663","424","72","172"
"3664","409","63","157"
"3665","398","55","162"
"3666","401","56","144"
"3667","405","59","144"
"3668","422","71","175"
"3669","421","71","172"
"3670","421","71","164"
"3671","421","70","166"
"3672","421","70","172"
"3673","422","71","161"
"3674","421","71","164"
"3675","420","70","163"
"3676","420","70","160"
"3677","421","71","160"
"3678","420","70","174"
"3679","421","70","171"
"3680","420","70","160"
"3681","421","70","162"
"3682","421","70","172"
"3683","421","70","173"
"3684","421","71","165"
"3685","421","71","169"
"3686","421","71","176"
"3687","421","71","171"
"3688","421","71","169"
"3689","422","71","160"
"3690","421","70","167"
"3691","422","71","174"
"3692","421","71","172"
"3693","421","70","170"
"3694","420","70","176"
"3695","421","70","165"
"3696","422","71","174"
"3697","420","70","168"
"3698","420","70","165"
"3699","420","70","161"
"3700","421","71","172"
"3701","421","70","159"
"3702","420","70","176"
"3703","421","71","160"
"3704","420","70","175"
"3705","420","70","164"
"3706","420","70","167"
"3707","421","71","175"
"3708","420","70","167"
"3709","422","71","175"
"3710","421","70","175"
"3711","421","71","172"
"3712","421","71","169"
"3713","423","72","162"
"3714","423","72","175"
"3715","420","70","162"
"3716","421","70","164"
"3717","423","72","162"
"3718","421","71","173"
"3719","422","71","169"
"3720","394","53","149"
"3721","401","61","159"
"3722","421","70","164"
"3723","418","71","170"
"3724","419","72","173"
"3725","415","71","161"
"3726","406","63","154"
"3727","412","67","168"
"3728","410","69","155"
"3729","410","70","153"
"3730","422","72","162"
"3731","408","43","169"
"3732","400","56","143"
"3733","399","62","150"
"3734","409","70","175"
"3735","409","70","177"
"3736","377","52","165"
"3737","353","45","133"
"3738","360","57","171"
"3739","410","68","177"
"3740","355","52","151"
"3741","404","65","175"
"3742","412","71","168"
"3743","385","60","57"
"3744","846","57","383"
"3745","852","58","383"
"3746","394","61","133"
"3747","852","59","383"
"3748","399","62","159"
"3749","401","62","151"
"3750","404","67","165"
"3751","385","57","135"
"3752","394","61","95"
"3753","845","64","383"
"3754","852","68","383"
"3755","851","71","383"
"3756","488","71","163"
"3757","406","71","156"
"3758","851","72","383"
"3759","407","71","161"
"3760","852","73","383"
"3761","403","71","165"
"3762","402","72","159"
"3763","400","71","158"
"3764","851","71","383"
"3765","852","71","383"
"3766","851","72","383"
"3767","851","71","383"
"3768","408","72","160"
"3769","478","72","154"
"3770","851","71","383"
"3771","405","72","160"
"3772","851","71","383"
"3773","851","71","383"
"3774","404","71","164"
"3775","851","71","383"
"3776","405","70","160"
"3777","851","71","383"
"3778","851","71","383"
"3779","851","71","383"
"3780","851","72","383"
"3781","400","70","156"
"3782","851","71","383"
"3783","851","71","383"
"3784","851","72","383"
"3785","851","72","383"
"3786","851","72","383"
"3787","851","72","383"
"3788","851","71","383"
"3789","403","71","171"
"3790","410","71","173"
"3791","403","70","163"
"3792","404","71","166"
"3793","851","71","383"
"3794","851","71","383"
"3795","410","72","160"
"3796","407","72","159"
"3797","406","72","159"
"3798","851","71","383"
"3799","405","70","174"
"3800","851","72","383"
"3801","405","71","157"
"3802","404","71","157"
"3803","851","72","383"
"3804","406","70","157"
"3805","406","71","174"
"3806","851","71","383"
"3807","413","71","174"
"3808","405","71","156"
"3809","404","71","170"
"3810","851","71","383"
"3811","404","70","171"
"3812","406","71","167"
"3813","405","72","172"
"3814","850","71","383"
"3815","851","71","383"
"3816","430","71","174"
"3817","851","72","383"
"3818","405","71","165"
"3819","406","72","160"
"3820","403","71","171"
"3821","402","70","160"
"3822","851","72","383"
"3823","851","72","383"
"3824","404","71","163"
"3825","851","71","383"
"3826","851","72","383"
"3827","402","70","174"
"3828","851","72","383"
"3829","851","69","383"
"3830","851","61","383"
"3831","851","71","383"
"3832","406","72","158"
"3833","851","73","383"
"3834","851","73","383"
"3835","646","196","211"
"3836","855","119","383"
"3837","860","184","383"
"3838","653","207","201"
"3839","854","110","383"
"3840","858","151","383"
"3841","654","189","209"
"3842","650","187","209"
"3843","650","186","212"
"3844","648","200","224"
"3845","650","186","212"
"3846","651","187","217"
"3847","650","186","216"
"3848","649","186","212"
"3849","651","187","216"
"3850","650","186","218"
"3851","650","186","209"
"3852","651","187","217"
"3853","650","186","218"
"3854","650","186","219"
"3855","650","186","212"
"3856","650","186","218"
"3857","650","186","210"
"3858","650","187","210"
"3859","651","187","213"
"3860","678","211","198"
"3861","650","186","219"
"3862","650","186","219"
"3863","651","187","217"
"3864","651","187","213"
"3865","651","187","216"
"3866","651","186","216"
"3867","650","186","210"
"3868","651","187","217"
"3869","650","186","210"
"3870","651","186","213"
"3871","650","186","210"
"3872","650","186","211"
"3873","650","186","218"
"3874","650","187","217"
"3875","650","186","209"
"3876","650","186","210"
"3877","650","186","213"
"3878","650","187","213"
"3879","650","186","219"
"3880","650","187","212"
"3881","651","186","219"
"3882","650","186","208"
"3883","651","187","215"
"3884","650","187","213"
"3885","650","187","216"
"3886","648","187","216"
"3887","650","187","216"
"3888","649","186","209"
"3889","649","186","209"
"3890","651","187","218"
"3891","646","182","188"
"3892","645","181","219"
"3893","648","184","215"
"3894","645","182","217"
"3895","653","186","217"
"3896","654","186","217"
"3897","863","185","383"
"3898","863","186","383"
"3899","650","187","216"
"3900","655","186","215"
"3901","863","184","383"
"3902","654","182","207"
"3903","644","180","218"
"3904","644","178","216"
"3905","862","183","383"
"3906","649","183","212"
"3907","863","190","383"
"3908","865","207","383"
"3909","651","184","218"
"3910","870","240","383"
"3911","871","250","383"
"3912","869","234","383"
"3913","867","226","383"
"3914","730","249","242"
"3915","731","253","232"
"3916","741","271","239"
"3917","744","270","251"
"3918","743","274","253"
"3919","744","272","233"
"3920","868","222","383"
"3921","744","273","248"
"3922","744","272","240"
"3923","744","276","254"
"3924","742","277","240"
"3925","743","275","253"
"3926","743","270","251"
"3927","741","276","241"
"3928","871","274","383"
"3929","874","275","383"
"3930","872","279","383"
"3931","872","278","383"
"3932","872","277","383"
"3933","871","266","383"
"3934","868","221","383"
"3935","869","233","383"
"3936","868","217","383"
"3937","867","212","383"
"3938","867","222","382"
"3939","869","240","383"
"3940","870","247","382"
"3941","871","252","383"
"3942","873","275","382"
"3943","868","230","382"
"3944","867","214","383"
"3945","743","275","253"
"3946","875","290","382"
"3947","877","299","382"
"3948","769","308","252"
"3949","771","311","260"
"3950","766","302","254"
"3951","774","301","261"
"3952","871","265","382"
"3953","775","302","257"
"3954","878","287","383"
"3955","878","286","383"
"3956","878","287","383"
"3957","878","286","383"
"3958","878","287","383"
"3959","878","278","382"
"3960","768","286","251"
"3961","775","302","262"
"3962","771","304","259"
"3963","878","282","382"
"3964","878","278","382"
"3965","771","299","260"
"3966","878","285","383"
"3967","769","286","257"
"3968","768","283","248"
"3969","760","286","248"
"3970","761","285","254"
"3971","763","290","253"
"3972","767","286","255"
"3973","761","289","247"
"3974","766","285","257"
"3975","764","293","250"
"3976","761","316","265"
"3977","763","313","264"
"3978","764","290","258"
"3979","749","287","249"
"3980","873","279","383"
"3981","874","276","383"
"3982","873","273","383"
"3983","757","296","253"
"3984","873","272","383"
"3985","746","269","251"
"3986","732","251","225"
"3987","870","237","383"
"3988","869","231","383"
"3989","744","263","247"
"3990","870","239","383"
"3991","729","249","243"
"3992","765","299","258"
"3993","683","204","227"
"3994","746","267","246"
"3995","726","244","238"
"3996","662","196","223"
"3997","670","199","227"
"3998","664","189","222"
"3999","862","180","383"
"4000","653","186","218"
"4001","867","220","383"
"4002","863","187","383"
"4003","655","187","213"
"4004","862","186","383"
"4005","692","212","205"
"4006","654","187","207"
"4007","675","200","225"
"4008","655","186","214"
"4009","653","186","218"
"4010","862","180","383"
"4011","649","186","206"
"4012","649","185","206"
"4013","650","185","201"
"4014","648","186","206"
"4015","649","187","212"
"4016","862","186","383"
"4017","862","187","383"
"4018","862","186","383"
"4019","862","186","383"
"4020","649","186","216"
"4021","649","186","215"
"4022","650","185","207"
"4023","862","186","383"
"4024","862","186","383"
"4025","649","186","217"
"4026","862","186","383"
"4027","862","186","383"
"4028","862","186","383"
"4029","649","186","211"
"4030","862","187","383"
"4031","862","186","382"
"4032","862","186","382"
"4033","862","186","383"
"4034","649","186","216"
"4035","862","187","382"
"4036","654","185","194"
"4037","653","185","222"
"4038","651","186","215"
"4039","653","185","217"
"4040","654","187","216"
"4041","654","186","216"
"4042","653","185","218"
"4043","654","186","218"
"4044","654","185","208"
"4045","862","186","382"
"4046","651","186","186"
"4047","652","186","197"
"4048","654","186","218"
"4049","654","187","214"
"4050","654","187","212"
"4051","654","187","218"
"4052","653","186","205"
"4053","654","187","207"
"4054","652","185","219"
"4055","654","186","209"
"4056","652","185","205"
"4057","653","186","200"
"4058","654","187","206"
"4059","654","186","218"
"4060","654","188","212"
"4061","652","186","219"
"4062","652","187","219"
"4063","652","186","207"
"4064","652","186","206"
"4065","650","183","210"
"4066","650","183","216"
"4067","649","183","217"
"4068","651","184","204"
"4069","651","185","209"
"4070","652","184","215"
"4071","652","184","213"
"4072","651","184","206"
"4073","651","183","209"
"4074","652","184","215"
"4075","651","184","209"
"4076","652","184","212"
"4077","652","184","205"
"4078","652","184","208"
"4079","654","187","214"
"4080","653","187","209"
"4081","651","184","217"
"4082","649","184","198"
"4083","647","185","206"
"4084","862","186","383"
"4085","651","184","204"
"4086","652","184","206"
"4087","862","186","383"
"4088","863","187","383"
"4089","652","186","220"
"4090","651","184","219"
"4091","650","186","212"
"4092","862","187","383"
"4093","862","185","383"
"4094","654","186","209"
"4095","655","185","212"
"4096","638","176","205"
"4097","654","186","204"
"4098","650","186","210"
"4099","591","138","195"
"4100","587","137","200"
"4101","583","138","203"
"4102","590","138","194"
"4103","586","138","190"
"4104","858","137","383"
"4105","858","138","383"
"4106","588","138","201"
"4107","858","138","383"
"4108","858","139","383"
"4109","858","138","383"
"4110","587","1023","279"
"4111","584","1023","279"
"4112","579","1023","278"
"4113","599","142","184"
"4114","588","1023","279"
"4115","591","1023","279"
"4116","592","1023","279"
"4117","588","138","200"
"4118","584","1023","279"
"4119","587","135","200"
"4120","583","132","198"
"4121","591","1023","279"
"4122","591","1023","279"
"4123","591","1023","279"
"4124","591","1023","279"
"4125","591","1023","279"
"4126","591","1023","279"
"4127","591","1023","279"
"4128","591","1023","279"
"4129","592","1023","279"
"4130","591","1023","279"
"4131","591","1023","279"
"4132","591","1023","279"
"4133","591","1023","279"
"4134","592","1023","281"
"4135","590","1023","279"
"4136","591","1023","279"
"4137","591","1023","279"
"4138","588","1023","279"
"4139","587","1023","279"
"4140","591","1023","279"
"4141","589","1023","279"
"4142","585","1023","279"
"4143","585","1023","280"
"4144","591","1023","279"
"4145","585","1023","279"
"4146","591","1023","279"
"4147","585","1023","279"
"4148","591","1023","279"
"4149","858","1023","383"
"4150","858","1023","383"
"4151","587","1023","279"
"4152","586","1023","279"
"4153","858","1023","383"
"4154","589","1023","279"
"4155","858","1023","383"
"4156","858","1023","383"
"4157","858","1023","383"
"4158","588","1023","279"
"4159","858","1023","383"
"4160","858","1023","383"
"4161","857","1023","383"
"4162","858","1023","383"
"4163","858","1023","383"
"4164","857","1023","383"
"4165","857","1023","383"
"4166","857","1023","383"
"4167","858","1023","383"
"4168","858","1023","383"
"4169","858","1023","383"
"4170","858","1023","383"
"4171","857","1023","382"
"4172","585","1023","278"
"4173","586","1023","278"
"4174","585","1023","278"
"4175","585","1023","278"
"4176","585","1023","278"
"4177","857","1023","382"
"4178","586","1023","278"
"4179","586","1023","278"
"4180","585","1023","279"
"4181","858","1023","383"
"4182","858","1023","383"
"4183","858","1023","383"
"4184","857","1023","383"
"4185","584","1023","278"
"4186","857","1023","383"
"4187","858","1023","383"
"4188","858","1023","383"
"4189","858","1023","383"
"4190","858","1023","383"
"4191","582","1023","279"
"4192","584","1023","279"
"4193","583","1023","279"
"4194","857","1023","383"
"4195","585","1023","278"
"4196","584","1023","278"
"4197","858","1023","383"
"4198","858","1023","383"
"4199","858","1023","383"
"4200","858","1023","383"
"4201","857","1023","383"
"4202","858","1023","383"
"4203","585","1023","279"
"4204","587","1023","278"
"4205","857","1023","383"
"4206","858","1023","383"
"4207","586","1023","279"
"4208","858","1023","383"
"4209","857","1023","383"
"4210","586","1023","278"
"4211","586","1023","279"
"4212","586","1023","278"
"4213","585","1023","279"
"4214","587","1023","278"
"4215","858","1023","383"
"4216","858","1023","383"
"4217","857","1023","383"
"4218","587","1023","279"
"4219","586","1023","279"
"4220","586","1023","279"
"4221","587","1023","279"
"4222","586","1023","279"
"4223","586","1023","279"
"4224","586","1023","279"
"4225","587","1023","279"
"4226","587","1023","278"
"4227","587","1023","279"
"4228","858","1023","383"
"4229","586","1023","279"
"4230","858","1023","383"
"4231","585","1023","279"
"4232","858","1023","383"
"4233","586","1023","279"
"4234","858","1023","383"
"4235","858","1023","383"
"4236","857","1023","383"
"4237","586","1023","279"
"4238","857","1023","383"
"4239","586","1023","279"
"4240","858","1023","383"
"4241","857","1023","383"
"4242","857","1023","383"
"4243","857","1023","383"
"4244","857","1023","383"
"4245","857","1023","383"
"4246","857","1023","383"
"4247","857","1023","383"
"4248","857","1023","382"
"4249","587","1023","278"
"4250","857","1023","383"
"4251","857","1023","383"
"4252","857","1023","383"
"4253","857","1023","383"
"4254","857","1023","383"
"4255","586","1023","278"
"4256","585","1023","278"
"4257","586","1023","278"
"4258","585","1023","278"
"4259","586","1023","278"
"4260","858","1023","383"
"4261","858","1023","383"
"4262","858","1023","383"
"4263","586","1023","278"
"4264","857","1023","383"
"4265","857","1023","383"
"4266","857","1023","383"
"4267","585","1023","278"
"4268","857","1023","383"
"4269","590","1023","278"
"4270","591","1023","278"
"4271","857","1023","383"
"4272","590","1023","278"
"4273","857","1023","383"
"4274","857","1023","383"
"4275","590","1023","279"
"4276","590","1023","279"
"4277","590","1023","279"
"4278","590","1023","279"
"4279","591","1023","278"
"4280","588","1023","278"
"4281","590","1023","279"
"4282","590","1023","279"
"4283","590","1023","279"
"4284","591","1023","279"
"4285","591","1023","279"
"4286","591","1023","279"
"4287","590","1023","279"
"4288","590","1023","279"
"4289","591","1023","279"
"4290","590","1023","279"
"4291","591","1023","279"
"4292","590","1023","279"
"4293","591","1023","279"
"4294","590","1023","279"
"4295","591","1023","279"
"4296","591","1023","279"
"4297","590","1023","279"
"4298","591","1023","279"
"4299","591","1023","279"
"4300","591","1023","279"
"4301","591","1023","279"
"4302","591","1023","279"
"4303","587","1023","279"
"4304","587","1023","279"
"4305","591","1023","279"
"4306","591","1023","279"
"4307","589","1023","279"
"4308","858","1023","383"
"4309","587","1023","279"
"4310","858","1023","383"
"4311","591","1023","279"
"4312","858","1023","383"
"4313","858","1023","383"
"4314","858","1023","383"
"4315","858","1023","383"
"4316","590","1023","279"
"4317","591","1023","279"
"4318","586","1023","278"
"4319","587","1023","278"
"4320","586","1023","279"
"4321","588","1023","279"
"4322","587","1023","279"
"4323","587","1023","278"
"4324","607","1023","278"
"4325","586","1023","279"
"4326","587","1023","279"
"4327","586","1023","279"
"4328","587","1023","279"
"4329","586","1023","279"
"4330","586","1023","279"
"4331","586","1023","279"
"4332","587","1023","279"
"4333","586","1023","279"
"4334","586","1023","279"
"4335","587","1023","279"
"4336","586","1023","281"
"4337","587","1023","279"
"4338","587","1023","279"
"4339","587","1023","279"
"4340","858","1023","383"
"4341","858","1023","383"
"4342","858","1023","383"
"4343","858","1023","383"
"4344","858","1023","383"
"4345","858","1023","383"
"4346","857","1023","383"
"4347","857","1023","383"
"4348","857","1023","383"
"4349","857","1023","383"
"4350","858","1023","383"
"4351","857","1023","383"
"4352","857","1023","383"
"4353","857","1023","383"
"4354","590","1023","278"
"4355","858","1023","383"
"4356","858","1023","383"
"4357","586","1023","279"
"4358","857","1023","383"
"4359","586","1023","278"
"4360","586","1023","279"
"4361","586","1023","279"
"4362","858","1023","383"
"4363","858","1023","383"
"4364","857","1023","383"
"4365","858","1023","383"
"4366","857","1023","383"
"4367","595","1023","278"
"4368","586","1023","279"
"4369","585","1023","278"
"4370","587","1023","279"
"4371","587","1023","279"
"4372","586","1023","279"
"4373","586","1023","279"
"4374","586","1023","279"
"4375","858","1023","383"
"4376","857","1023","383"
"4377","587","1023","279"
"4378","858","1023","383"
"4379","858","1023","383"
"4380","857","1023","383"
"4381","857","1023","383"
"4382","585","1023","278"
"4383","586","1023","278"
"4384","857","1023","383"
"4385","590","1023","279"
"4386","591","1023","279"
"4387","590","1023","279"
"4388","590","1023","279"
"4389","858","1023","383"
"4390","591","1023","279"
"4391","590","1023","279"
"4392","590","1023","279"
"4393","590","1023","279"
"4394","591","1023","279"
"4395","590","1023","279"
"4396","590","1023","279"
"4397","590","1023","279"
"4398","590","1023","279"
"4399","590","1023","279"
"4400","590","1023","279"
"4401","590","1023","279"
"4402","590","1023","279"
"4403","591","1023","279"
"4404","591","1023","279"
"4405","592","1023","279"
"4406","590","1023","279"
"4407","591","1023","279"
"4408","591","1023","279"
"4409","591","1023","279"
"4410","592","1023","279"
"4411","592","1023","279"
"4412","591","1023","279"
"4413","592","1023","279"
"4414","591","1023","279"
"4415","591","1023","279"
"4416","591","1023","279"
"4417","591","1023","279"
"4418","591","1023","279"
"4419","592","1023","279"
"4420","590","1023","279"
"4421","591","1023","279"
"4422","591","1023","279"
"4423","591","1023","279"
"4424","591","1023","279"
"4425","591","1023","279"
"4426","590","1023","279"
"4427","592","1023","279"
"4428","589","1023","279"
"4429","593","1023","279"
"4430","828","1023","383"
"4431","588","1023","279"
"4432","858","1023","383"
"4433","858","1023","383"
"4434","595","1023","278"
"4435","591","1023","279"
"4436","858","1023","383"
"4437","590","1023","278"
"4438","588","1023","279"
"4439","590","1023","279"
"4440","591","1023","279"
"4441","591","1023","279"
"4442","591","1023","279"
"4443","591","1023","279"
"4444","591","1023","279"
"4445","592","1023","279"
"4446","592","1023","279"
"4447","591","1023","279"
"4448","591","1023","279"
"4449","592","1023","279"
"4450","591","1023","279"
"4451","592","1023","279"
"4452","591","1023","279"
"4453","591","1023","279"
"4454","592","1023","279"
"4455","591","1023","279"
"4456","591","1023","279"
"4457","591","1023","279"
"4458","594","1023","279"
"4459","595","1023","279"
"4460","597","1023","279"
"4461","596","1023","279"
"4462","594","1023","279"
"4463","594","1023","279"
"4464","593","1023","280"
"4465","599","1023","279"
"4466","594","1023","279"
"4467","594","1023","279"
"4468","595","1023","278"
"4469","594","1023","279"
"4470","595","1023","279"
"4471","593","1023","279"
"4472","858","1023","383"
"4473","858","1023","383"
"4474","600","1023","279"
"4475","858","1023","383"
"4476","859","1023","383"
"4477","601","1023","278"
"4478","600","1023","278"
"4479","601","1023","280"
"4480","603","1023","279"
"4481","603","1023","279"
"4482","859","1023","383"
"4483","859","1023","383"
"4484","859","1023","383"
"4485","622","1023","278"
"4486","610","1023","278"
"4487","618","1023","279"
"4488","859","1023","383"
"4489","860","1023","383"
"4490","615","1023","278"
"4491","610","1023","279"
"4492","861","1023","383"
"4493","860","1023","383"
"4494","672","1023","277"
"4495","644","1023","278"
"4496","860","1023","383"
"4497","652","1023","278"
"4498","662","1023","279"
"4499","865","1023","383"
"4500","867","1023","383"
"4501","649","1023","279"
"4502","868","1023","383"
"4503","866","1023","383"
"4504","718","1023","279"
"4505","741","1023","279"
"4506","728","1023","279"
"4507","873","1023","383"
"4508","873","1023","383"
"4509","874","1023","383"
"4510","773","1023","278"
"4511","778","1023","279"
"4512","790","1023","280"
"4513","814","1023","279"
"4514","802","1023","281"
"4515","874","1023","383"
"4516","882","1023","383"
"4517","883","1023","383"
"4518","884","1023","383"
"4519","884","1023","383"
"4520","772","1023","278"
"4521","882","1023","383"
"4522","808","1023","279"
"4523","779","1023","279"
"4524","794","1023","279"
"4525","792","1023","278"
"4526","798","1023","279"
"4527","759","1023","278"
"4528","687","1023","279"
"4529","874","1023","383"
"4530","876","1023","383"
"4531","875","1023","383"
"4532","873","1023","383"
"4533","869","1023","383"
"4534","869","1023","383"
"4535","871","1023","383"
"4536","869","1023","383"
"4537","698","1023","278"
"4538","715","1023","278"
"4539","696","1023","281"
"4540","628","1023","279"
"4541","588","1023","278"
"4542","543","1023","278"
"4543","524","1023","278"
"4544","530","1023","279"
"4545","525","1023","279"
"4546","524","1023","279"
"4547","617","1023","279"
"4548","519","1023","279"
"4549","513","1023","279"
"4550","510","1023","279"
"4551","522","1023","278"
"4552","532","1023","279"
"4553","514","1023","278"
"4554","514","1023","279"
"4555","605","1023","279"
"4556","615","1023","279"
"4557","609","1023","279"
"4558","595","1023","278"
"4559","605","1023","279"
"4560","845","1023","383"
"4561","844","1023","383"
"4562","844","1023","383"
"4563","844","1023","383"
"4564","844","1023","383"
"4565","844","1023","383"
"4566","844","1023","383"
"4567","606","1023","278"
"4568","603","1023","278"
"4569","599","1023","279"
"4570","595","1023","279"
"4571","842","1023","383"
"4572","843","1023","383"
"4573","842","1023","383"
"4574","842","1023","383"
"4575","842","1023","383"
"4576","842","1023","383"
"4577","594","1023","277"
"4578","594","1023","277"
"4579","594","1023","278"
"4580","594","1023","279"
"4581","596","1023","278"
"4582","601","1023","278"
"4583","604","1023","278"
"4584","812","1023","383"
"4585","843","1023","383"
"4586","844","1023","383"
"4587","639","1023","278"
"4588","656","1023","278"
"4589","663","1023","278"
"4590","653","1023","278"
"4591","853","1023","383"
"4592","854","1023","383"
"4593","855","1023","383"
"4594","728","1023","278"
"4595","759","1023","278"
"4596","762","1023","279"
"4597","770","1023","278"
"4598","862","1023","383"
"4599","865","1023","383"
"4600","864","1023","383"
"4601","866","1023","383"
"4602","865","1023","383"
"4603","864","1023","383"
"4604","766","1023","278"
"4605","777","1023","277"
"4606","755","1023","278"
"4607","723","1023","279"
"4608","701","1023","279"
"4609","852","1023","383"
"4610","852","1023","383"
"4611","852","1023","383"
"4612","851","1023","383"
"4613","849","1023","383"
"4614","849","1023","383"
"4615","681","1023","278"
"4616","685","1023","278"
"4617","705","1023","279"
"4618","707","1023","278"
"4619","710","1023","278"
"4620","853","1023","383"
"4621","853","1023","383"
"4622","853","1023","383"
"4623","853","1023","383"
"4624","854","1023","383"
"4625","854","1023","383"
"4626","854","1023","383"
"4627","854","1023","383"
"4628","855","1023","382"
"4629","689","1023","278"
"4630","655","1023","278"
"4631","595","1023","278"
"4632","590","1023","278"
"4633","589","1023","278"
"4634","590","1023","279"
"4635","591","1023","278"
"4636","592","1023","278"
"4637","593","1023","279"
"4638","593","1023","278"
"4639","595","1023","278"
"4640","595","1023","278"
"4641","595","1023","278"
"4642","596","1023","278"
"4643","596","1023","279"
"4644","595","1023","279"
"4645","593","1023","279"
"4646","593","1023","278"
"4647","593","1023","279"
"4648","593","1023","279"
"4649","594","1023","278"
"4650","593","1023","278"
"4651","593","1023","279"
"4652","594","1023","279"
"4653","594","1023","278"
"4654","594","1023","279"
"4655","595","1023","279"
"4656","586","1023","278"
"4657","582","1023","281"
"4658","583","1023","279"
"4659","586","1023","279"
"4660","586","1023","279"
"4661","588","1023","279"
"4662","601","1023","278"
"4663","667","1023","279"
"4664","690","1023","279"
"4665","692","1023","281"
"4666","692","1023","279"
"4667","694","1023","279"
"4668","852","1023","383"
"4669","852","1023","383"
"4670","852","1023","383"
"4671","852","1023","383"
"4672","851","1023","383"
"4673","698","1023","278"
"4674","676","1023","278"
"4675","578","1023","279"
"4676","612","1023","279"
"4677","613","1023","278"
"4678","640","1023","279"
"4679","641","1023","279"
"4680","648","1023","279"
"4681","845","1023","383"
"4682","844","1023","383"
"4683","844","1023","383"
"4684","844","1023","383"
"4685","844","1023","383"
"4686","845","1023","383"
"4687","845","1023","383"
"4688","845","1023","383"
"4689","658","1023","278"
"4690","655","1023","278"
"4691","640","1023","278"
"4692","614","1023","278"
"4693","506","1023","278"
"4694","590","1023","279"
"4695","580","1023","278"
"4696","568","1023","278"
"4697","575","1023","278"
"4698","574","1023","278"
"4699","570","1023","278"
"4700","567","1023","279"
"4701","574","1023","278"
"4702","547","1023","279"
"4703","579","1023","279"
"4704","580","1023","278"
"4705","578","1023","278"
"4706","573","1023","279"
"4707","573","1023","279"
"4708","574","1023","279"
"4709","574","1023","279"
"4710","607","1023","279"
"4711","575","1023","278"
"4712","521","1023","279"
"4713","484","1023","279"
"4714","413","1023","278"
"4715","531","1023","279"
"4716","425","1023","279"
"4717","406","1023","278"
"4718","402","1023","278"
"4719","386","1023","278"
"4720","374","1023","279"
"4721","372","1023","279"
"4722","372","1023","278"
"4723","370","1023","278"
"4724","371","1023","278"
"4725","372","1023","279"
"4726","369","1023","278"
"4727","371","1023","279"
"4728","370","64","155"
"4729","368","64","154"
"4730","370","73","159"
"4731","367","72","168"
"4732","370","66","165"
"4733","369","58","167"
"4734","365","54","159"
"4735","373","58","166"
"4736","367","58","162"
"4737","379","62","168"
"4738","413","89","176"
"4739","517","102","172"
"4740","549","115","191"
"4741","569","125","191"
"4742","570","125","176"
"4743","579","135","192"
"4744","584","139","176"
"4745","583","139","172"
"4746","582","139","160"
"4747","837","152","383"
"4748","837","161","383"
"4749","838","159","383"
"4750","839","177","383"
"4751","840","184","383"
"4752","841","190","382"
"4753","841","192","382"
"4754","842","194","382"
"4755","841","191","382"
"4756","640","191","220"
"4757","638","190","219"
"4758","640","190","220"
"4759","642","192","221"
"4760","643","193","220"
"4761","644","194","220"
"4762","647","194","221"
"4763","649","194","213"
"4764","650","194","206"
"4765","652","194","223"
"4766","652","194","218"
"4767","652","193","221"
"4768","651","194","222"
"4769","650","194","220"
"4770","649","194","222"
"4771","649","194","223"
"4772","647","193","205"
"4773","642","191","215"
"4774","643","191","204"
"4775","843","192","383"
"4776","843","193","383"
